Author	n (strains)	publication title	journal	publication URL	strains
Viana et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-B207/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-B207/2021
Githinji et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/C81462/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/C81462/2021
Trabelsi et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUN/TUN-202129100/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	TUN/TUN-202129100/2021
Viana et al O	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-9424/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-9424/2021
O Reilly et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IRL/AIIDV1752/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, complete cds; ORF3a gene, complete sequence; and envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	IRL/AIIDV1752/2021
Arnold et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SOM/NAMRU3_Mog_46/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, complete cds; ORF3a gene, complete sequence; and envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SOM/NAMRU3_Mog_46/2021
Viana et al P	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-7152/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-7152/2020
Ren et al AM	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/21CV0084/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	NZL/21CV0084/2021
Chan et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MYS/NCOV59605/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	MYS/NCOV59605/2021
Batty et al H	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/THA/CONI-0737/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	THA/CONI-0737/2021
Githinji et al O	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS458/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/SS458/2021
Githinji et al P	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS492/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/SS492/2021
Githinji et al Q	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS493/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/SS493/2021
Githinji et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/G40372/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/G40372/2021
Githinji et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/G38725/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/G38725/2021
Githinji et al T	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/G38723/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/G38723/2021
Githinji et al U	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS459/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/SS459/2021
Githinji et al V	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SYC/SS461/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SYC/SS461/2021
Viana et al Q	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-A806/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-A806/2021
Viana et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-A922/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-A922/2021
Feasey et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MWI/MLW001202/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	MWI/MLW001202/2021
Feasey et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MWI/MLW001196/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	MWI/MLW001196/2021
Arnold et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_RA/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	DJI/NAMRU3_RA/2021
Arnold et al T	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_A201/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	DJI/NAMRU3_A201/2021
Arnold et al U	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_G223/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	DJI/NAMRU3_G223/2021
Arnold et al V	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_A63/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	DJI/NAMRU3_A63/2021
Arnold et al W	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_TF360/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	DJI/NAMRU3_TF360/2021
Arnold et al X	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_B492/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	DJI/NAMRU3_B492/2021
Arnold et al Y	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/DJI/NAMRU3_F116/2021, complete genome	unknown	unknown	DJI/NAMRU3_F116/2021
Feasey et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MWI/MLW001015/2020 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	MWI/MLW001015/2020
Viana et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-B380/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-B380/2021
Trabelsi et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUN/TUN-202129459/2021, complete genome	unknown	unknown	TUN/TUN-202129459/2021
Afrad et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BGD/IEDCR-OIS-159/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	BGD/IEDCR-OIS-159/2021
Tsao et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TWN/CGMH-CGU-59/2021, complete genome	unknown	unknown	TWN/CGMH-CGU-59/2021
Alwasti et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BHR/341884558_S7_L001/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	BHR/341884558_S7_L001/2021
Viana et al T	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-A523/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-A523/2021
Feasey et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MWI/MLW001052/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	MWI/MLW001052/2021
Viana et al U	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-B594/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GS-B594/2021
Viana et al V	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GS-B741/2021, complete genome	unknown	unknown	SouthAfrica/NHLS-UCT-GS-B741/2021
Tegally et al G	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GP-6386/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	SouthAfrica/NHLS-UCT-GP-6386/2021
Githinji et al W	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/C95899/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, complete cds; ORF3a gene, complete sequence; and envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/C95899/2021
Githinji et al X	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/C94432/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, complete cds; ORF3a gene, complete sequence; and envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/C94432/2021
Abdallah et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/LBN/LB-R8/2020, complete genome	unknown	unknown	LBN/LB-R8/2020
Jeewandara et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/LKA/COV91/2020, complete genome	unknown	unknown	LKA/COV91/2020
Temerozo et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/ICO1041/2020, complete genome	unknown	unknown	BRA/ICO1041/2020
Temerozo et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/ICO1065/2020, complete genome	unknown	unknown	BRA/ICO1065/2020
Temerozo et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/ICO10208/2020, complete genome	unknown	unknown	BRA/ICO10208/2020
Zhang et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-CDC-4010452-001/2020, complete genome	unknown	unknown	USA/MA-CDC-4010452-001/2020
? H	1	Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/BS-UHB-42218848/2020 genome assembly, chromosome: 1	unknown	unknown	Switzerland/BS-UHB-42218848/2020
Laamarti et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MAR/RMPS04/2020, complete genome	unknown	unknown	MAR/RMPS04/2020
Fares et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUN/COV1663/2020, complete genome	unknown	unknown	TUN/COV1663/2020
Ngoi et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GHA/2853_S7/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	GHA/2853_S7/2020
Khan et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BGD/DNAS_CPH_isl_485_BGD/2020, complete genome	unknown	unknown	BGD/DNAS_CPH_isl_485_BGD/2020
? I	1	Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/AG-ETHZ-530806/2020 genome assembly, chromosome: 1	unknown	unknown	Switzerland/AG-ETHZ-530806/2020
Mwesigwa et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MAKCHScov19/2020, complete genome	unknown	unknown	UGA/MAKCHScov19/2020
Lekana-Douki et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GAB/14537-7B_Gabon/2021, complete genome	unknown	unknown	GAB/14537-7B_Gabon/2021
Derhourhi et al	2	Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1	unknown	unknown	HG993790,OD986958
Krasnov et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GIN/C2/2020, complete genome	unknown	unknown	GIN/C2/2020
Krasnov et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GIN/C1/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), and ORF8 protein (ORF8) genes, complete cds	unknown	unknown	GIN/C1/2020
Krasnov et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GIN/C3/2020, complete genome	unknown	unknown	GIN/C3/2020
Lekana-Douki et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GAB/88L_Gabon/2020, complete genome	unknown	unknown	GAB/88L_Gabon/2020
Oude Munnink et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Netherlands/ZuidHolland_189/2020 genome assembly, complete genome: monopartite	unknown	unknown	Netherlands/ZuidHolland_189/2020
Juscamayta et al H	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper034/2020, complete genome	unknown	unknown	PER/covper034/2020
Juscamayta et al I	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper044/2020, complete genome	unknown	unknown	PER/covper044/2020
Juscamayta et al J	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper048/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PER/covper048/2020
Juscamayta et al K	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper035/2020, complete genome	unknown	unknown	PER/covper035/2020
Juscamayta et al L	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper023/2020, complete genome	unknown	unknown	PER/covper023/2020
Juscamayta et al M	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper020/2020, complete genome	unknown	unknown	PER/covper020/2020
Juscamayta et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper013/2020, complete genome	unknown	unknown	PER/covper013/2020
Githinji et al Y	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/C23676/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/C23676/2020
Githinji et al Z	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/C34459/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/C34459/2020
